AppID,Name,Release date,Estimated owners,Required age,Price,DLC count,Supported languages,Windows,Mac,Linux,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever,Categories,Genres,Tags,Developer,Publisher
1149590,Dreamland Solitaire,2019-09-18,0 - 20000,0,6.99,0,"['English', 'German', 'Russian', 'French', 'Dutch']",True,False,False,37,0,30,0,0,0,"Single-player,Steam Achievements,Steam Cloud","Casual,Indie,Strategy","['Indie', 'Casual', 'Strategy']",Adept Studios GD,Alawar Entertainment
1916340,Digital Diamond Baseball V10,2022-03-31,0 - 20000,0,24.99,0,['English'],True,True,False,12,0,0,0,0,0,Single-player,"Simulation,Sports,Strategy","['Sports', 'Simulation', 'Baseball']",Curiosity Computing,Curiosity Computing
397850,Sonder. Episode ONE,2017-05-09,0 - 20000,0,3.99,0,['English'],True,False,False,10,3,7,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Indie,Simulation,Early Access","['Adventure', 'Indie', 'Simulation']",KAMAi MEDIA,KAMAi MEDIA
314650,SpaceEngine,2019-06-11,200000 - 500000,0,24.99,12,"['English', 'German', 'Russian', 'Italian', 'French', 'Finnish', 'Polish', 'Spanish - Latin America', 'Spanish - Spain', 'Traditional Chinese', 'Simplified Chinese', 'Dutch', 'Czech', 'Swedish', 'Japanese', 'Portuguese - Brazil', 'Turkish', 'Ukrainian']",True,False,False,6116,249,0,5999,460,455,"Single-player,VR Support,Steam Workshop,Partial Controller Support","Casual,Indie,Simulation,Early Access","['Early Access', 'Open World', 'Casual']",Vladimir Romanyuk,Vladimir Romanyuk
1235350,Weed County,2021-04-26,0 - 20000,0,14.99,0,['English'],True,False,False,4,3,30,0,0,0,"Single-player,Steam Achievements","Adventure,Indie,RPG,Simulation","['Indie', 'RPG', 'Simulation']",U.D. Games,U.D. Games
1159490,LowPoly 3D Art Paint by Number,2019-10-12,0 - 20000,0,9.99,0,"['English', 'Russian']",True,False,False,0,1,0,0,0,0,Single-player,"Action,Adventure,Casual,Indie,RPG,Simulation,Strategy","['Casual', 'Indie', 'Action']",AA2G1 Studios,AA2G1 Studios
893140,Gold Digger Maze,2018-07-24,0 - 20000,0,3.99,0,['English'],True,True,True,10,13,65,0,0,0,"Single-player,Steam Achievements","Adventure,Casual,Indie","['Indie', 'Casual', 'Adventure']",Bullid Games,Bullid Games
674230,Light of the Mountain,2018-02-01,0 - 20000,0,9.99,0,['English'],True,False,False,10,5,0,0,0,0,"Single-player,Partial Controller Support",Adventure,"['Adventure', 'Walking Simulator']",Songhouse Games,Songhouse Games
1213760,Path of Zen,2020-01-20,0 - 20000,0,6.99,0,['English'],True,False,False,1,0,0,0,0,0,Single-player,"Casual,Indie,Simulation","['Indie', 'Casual', 'Simulation']",Longest Road Studio,Longest Road Studio
578350,Element TD,2017-01-20,0 - 20000,0,0.99,0,['English'],True,False,False,47,16,0,0,0,0,Single-player,"Indie,Strategy","['Tower Defense', 'Real Time Tactics', 'Indie']",Element Studios,Element Studios
344160,World of Cinema - Movie Tycoon,2015-04-02,0 - 20000,0,4.99,1,"['English', 'German']",True,False,False,13,29,0,0,0,0,"Single-player,Multi-player,Partial Controller Support,Stats","Casual,Indie,Simulation,Strategy","['Strategy', 'Simulation', 'Indie']",Pepi Games,Pepi Games
705380,Galactic Shipwright,2018-10-05,0 - 20000,0,5.99,0,['English'],True,False,False,21,3,8,0,54,54,"Single-player,Steam Achievements,Steam Workshop,Steam Leaderboards","Action,Indie,Simulation","['Indie', 'Action', 'Simulation']",NanoidGames,NanoidGames
401710,Flinthook,2017-04-18,100000 - 200000,0,14.99,1,"['English', 'French', 'Japanese']",True,True,True,585,196,37,552,344,479,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV","Action,Adventure,Indie","['Action Roguelike', 'Indie', 'Action']",Tribute Games Inc.,Tribute Games Inc.
762610,Russian Subway Dogs,2018-08-02,0 - 20000,0,14.99,1,"['English', 'French', 'German', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America']",True,True,True,212,4,37,155,0,0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie","['Dog', 'Cats', 'Cute']",Spooky Squid Games Inc.,Spooky Squid Games Inc.
1127030,Throw The Ball In the Hole,2019-09-20,0 - 20000,0,0.0,0,['English'],True,False,False,11,2,3,0,0,0,"Single-player,Steam Achievements","Casual,Indie,Simulation,Strategy","['Indie', 'Casual', 'Simulation']",LanziVision,LanziVision
979450,Brick Breaker Halloween,2018-12-07,0 - 20000,0,1.99,0,['English'],True,False,False,13,0,0,0,0,0,Single-player,"Action,Casual,Indie","['Action', 'Indie', 'Casual']",Moravia Games,Sedoc LLC
671650,Mad Age & This Guy,2017-10-24,20000 - 50000,0,4.99,0,"['English', 'Spanish - Spain', 'Simplified Chinese', 'Polish', 'Russian', 'Ukrainian']",True,False,False,89,14,36,0,0,0,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Casual,Indie","['Indie', 'Action', 'Casual']",Atomic Wolf,Atomic Wolf
619210,4D Toys,2017-06-02,0 - 20000,0,14.99,0,['English'],True,False,False,146,23,0,161,95,95,"Single-player,Steam Trading Cards,Steam Cloud","Indie,Simulation","['Simulation', 'Indie', 'VR']","mtb design works, inc.","mtb design works, inc."
510910,Temple of the Apsara,2016-09-06,0 - 20000,0,1.99,0,['English'],True,False,False,37,13,0,0,0,0,Single-player,"Adventure,Indie","['Adventure', 'Indie', 'Action-Adventure']",Attraction Studios,Attraction Studios
1162050,Knockout Party,2020-09-11,0 - 20000,0,1.74,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Polish', 'Simplified Chinese', 'Turkish', 'Russian']",True,False,False,66,34,1,0,0,0,"Multi-player,PvP,Online PvP,Cross-Platform Multiplayer","Action,Casual,Indie,Massively Multiplayer,Sports","['Action', 'Casual', 'Indie']",Toxic studio,Toxic studio
1303790,Beware of the Blob,2020-05-27,0 - 20000,0,6.99,1,['English'],True,True,False,2,0,18,0,0,0,"Single-player,Steam Achievements,Full controller support","Adventure,Indie","['Adventure', 'Indie', 'Puzzle']",Beware Blob,Beware Blob
